"Pathways"	"Object ID"	"Reaction-List"
PWY-6409	"PWY-6409"	RXN-20774 // RXN-20773 // RXN-20772 // TRANS-RXN-389 // RXN-16727 // RXN-20771 // RXN-11129 // RXN-11128 // RXN-11127 // R101-RXN // RXN-11126
PWY-6640	"PWY-6640"	GENTISATE-12-DIOXYGENASE-RXN // RXN-11741 // RXN-11740 // RXN-11739 // RXN-11113
TRIGLSYN-PWY	"TRIGLSYN-PWY"	RXN-12959 // RXN-12383 // RXN-1641 // RXN-1623 // RXN-1381 // DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN // PHOSPHATIDATE-PHOSPHATASE-RXN
PWY-7963	"PWY-7963"	RXN-16790 // RXN-19314 // RXN-19297
PWY-7593	"PWY-7593"	RXN-16068
PWY-5135	"PWY-5135"	RXN-7821 // RXN-7820 // NARINGENIN-CHALCONE-SYNTHASE-RXN // 4-COUMARATE--COA-LIGASE-RXN
PWY-7135	"PWY-7135"	4.3.3.3-RXN // RXN-13790 // RXN-13791 // RXN-13792 // RXN-13793 // RXN-13794 // RXN-13795 // RXN-13796
ENTBACSYN-PWY	"ENTBACSYN-PWY"	ENTG-RXN // RXN-15891 // RXN-15890 // RXN-15889 // ENTF-RXN // RXN0-6442 // DHBAMPLIG-RXN // ENTDB-RXN // PWY-5901
PWY-5063	"PWY-5063"	RXN-7658 // RXN-7659 // RXN-7660
PWY-321	"PWY-321"	RXN-16389 // RXN-16398 // PALMITOYL-COA-HYDROLASE-RXN // RXN-16417 // RXN-16416 // RXN-9666 // RXN-16400 // RXN-1065 // RXN-9802 // RXN-9807 // RXN-9806 // RXN-9805 // RXN-9804 // RXN-9803 // RXN-1064 // RXN-1062
GLYSYN-ALA-PWY	"GLYSYN-ALA-PWY"	ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN
PWY-7105	"PWY-7105"	RXN-13666 // RXN-13665 // RXN-13664 // RXN-13663 // RXN-13662
PWY-7966	"PWY-7966"	RXN-19322 // RXN-19301 // RXN-19305
TCA	"TCA"	RXN-14971 // MALATE-DEH-RXN // ISOCITDEH-RXN // MALATE-DEHYDROGENASE-ACCEPTOR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // 2OXOGLUTARATEDEH-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN
PWY-6914	"PWY-6914"	2.5.1.71-RXN // 1.14.13.103-RXN // 2.5.1.70-RXN
PWY-7609	"PWY-7609"	PWY-7608 // PWY-7605 // PWY-7607
PWY-7270	"PWY-7270"	PWY-4361 // PWY-6754 // 4.4.1.14-RXN // SAM-PWY
PWY-7577	"PWY-7577"	RXN-15983 // RXN-11130
PWY-7741	"PWY-7741"	RXN-18544 // RXN-17266 // RXN-17265 // RXN-17228 // RXN-17225 // RXN-17231 // RXN-17222 // RXN-17216
PWY-7969	"PWY-7969"	RXN-19299 // RXN-19303 // RXN-19320
PWY-2942	"PWY-2942"	RXN-14014 // DIAMINOPIMELATE-DEHYDROGENASE-RXN // DIAMINOPIMDECARB-RXN // RXN-4821 // DIHYDRODIPICSYN-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PHESYN	"PHESYN"	RXN-10814 // CHORISMATEMUT-RXN // PREPHENATEDEHYDRAT-RXN
PWY-7525	"PWY-7525"	RXN-14927 // RXN-14413 // RXN-14415 // RXN-15644 // RXN-14416 // RXN-14418 // RXN-15642
PWY-5925	"PWY-5925"	RXN-7983 // RXN-7982 // 1.14.11.24-RXN
GLYCINE-SYN2-PWY	"GLYCINE-SYN2-PWY"	GLYCLEAV-PWY // GCVP-RXN
PWY-7744	"PWY-7744"	RXN-18532 // RXN-17251 // RXN-18052 // RXN-17271
PWY-7382	"PWY-7382"	RXN-14950 // RXN-13037 // RXN-14959 // RXN-14958 // RXN-14957 // RXN-14955 // RXN-14954
PWY-5133	"PWY-5133"	RXN-18449 // RXN-18447 // RXN-7813 // RXN-7812 // RXN-7809 // RXN-7805
PWY-6333	"PWY-6333"	ALCOHOL-DEHYDROG-RXN
P105-PWY	"P105-PWY"	RXN-14971 // MALATE-DEH-RXN // ISOCITDEH-RXN // RXN-7774 // SUCCSEMIALDDEHYDROG-RXN // MALSYN-RXN // ISOCIT-CLEAV-RXN // FUMHYDR-RXN // ACONITATEHYDR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN
PWY-7432	"PWY-7432"	PREPHENATEDEHYDRAT-RXN // RXN-15200
PWY-7704	"PWY-7704"	RXN-16978 // RXN-16977 // RXN-16976 // RXN-13989
PWY-7984	"PWY-7984"	RXN-19438 // RXN-9377 // RXN-19454 // DHBAMPLIG-RXN // RXN-19446 // RXN-19487 // RXN-19488 // RXN-19489 // RXN-19471
PWY-5884	"PWY-5884"	RXN-9344 // 2.3.1.75-RXN
PWY-2941	"PWY-2941"	RXN-14014 // DIAMINOPIMEPIM-RXN // DIAMINOPIMDECARB-RXN // N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN // RXN-4822 // 2.3.1.89-RXN // DIHYDRODIPICSYN-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-6628	"PWY-6628"	PHESYN // ARO-PWY
PWY-7683	"PWY-7683"	RXN-16805 // RXN-16809 // RXN-16818
PWY-6375	"PWY-6375"	LYSDECARBOX-RXN // RXN-10995 // RXN-10996 // RXN-10997 // RXN-10998
PWY-8073	"PWY-8073"	RXN-20789 // RXN-20788 // RXN-20787 // RXN-20786 // RXN-20785 // RXN-20784
PWY-6994	"PWY-6994"	RXN-13084 // RXN-13074 // RXN-13080
GLYSYN-THR-PWY	"GLYSYN-THR-PWY"	THREONINE-ALDOLASE-RXN
PWY-5808	"PWY-5808"	RXN-7810 // RXN-7811 // RXN-13549 // 2.3.1.156-RXN // RXN-9135 // RXN-7813 // RXN-7812 // RXN-7805
PWY0-522	"PWY0-522"	RXN-8654 // RXN-8655
PWY-6969	"PWY-6969"	RXN-14971 // MALATE-DEH-RXN // SUCCCOASYN-RXN // RXN-12912 // 2-OXOGLUTARATE-SYNTHASE-RXN // ISOCITDEH-RXN // MALSYN-RXN // ISOCIT-CLEAV-RXN // FUMHYDR-RXN // ACONITATEHYDR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN
PWY-3462	"PWY-3462"	CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN // PREPHENATE-TRANSAMINE-RXN // CHORISMATEMUT-RXN
PWY-7387	"PWY-7387"	RXN66-3 // RXN-14908 // RXN-14907
PWY-7988	"PWY-7988"	RXN-19514 // RXN-19512 // RXN-19511 // RXN-19510 // RXN-19509 // RXN-19505 // RXN-19506 // RXN-19507 // RXN-682 // 4.1.1.86-RXN // R101-RXN
PWY-6534	"PWY-6534"	RXN-11510 // PHENDEHYD-RXN
PWY-6453	"PWY-6453"	RXN-1063 // RXN-16121 // RXN-16120 // RXN-16119 // RXN-16118 // RXN-16117 // RXN-16116
PWY-5097	"PWY-5097"	RXN-14014 // DIAMINOPIMDECARB-RXN // DIAMINOPIMEPIM-RXN // RXN-7737 // DIHYDRODIPICSYN-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-4984	"PWY-4984"	RXN-13202 // ARGINASE-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN // ORNCARBAMTRANSFER-RXN
PWY-6379	"PWY-6379"	RXN-11012 // RXN-11011 // RXN-11010 // RXN-11006 // RXN-11007
PWY-8015	"PWY-8015"	ACETATEKIN-RXN // RXN-7566
2PHENDEG-PWY	"2PHENDEG-PWY"	PHENDEHYD-RXN // AMINEPHEN-RXN
PWY0-1264	"PWY0-1264"	RXN0-5055 // BIOTIN-CARBOXYL-RXN // RXN-7101 // BIOTINLIG-RXN
PWY-5132	"PWY-5132"	RXN-18446 // RXN-18441 // RXN-7807 // RXN-7810 // RXN-7811 // 2.3.1.156-RXN
PWY-6987	"PWY-6987"	RXN-13037 // RXN-13036 // RXN0-949
REDCITCYC	"REDCITCYC"	ISOCITDEH-RXN // RXNI-3 // R601-RXN // RXNI-2 // 2-OXOGLUTARATE-SYNTHASE-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // FUMHYDR-RXN
PWY-3282	"PWY-3282"	PWY-6964 // PWY-6963
PWY-8008	"PWY-8008"	RXN-19823 // RXN-19822 // RXN-19821 // RXN-19819 // RXN-18395 // RXN-18393 // RXN-19820
LIPA-CORESYN-PWY	"LIPA-CORESYN-PWY"	RXN-19737 // RXN0-5127 // RXN0-5126 // RXN0-5125 // RXN0-5124 // RXN0-5123 // RXN0-5122 // RXN0-5121 // RXN0-5120 // RXN0-5061 // RXN0-5118
P23-PWY	"P23-PWY"	R601-RXN // MALATE-DEH-RXN // ISOCITDEH-RXN // PEPCARBOX-RXN // PEPSYNTH-RXN // PYRUFLAVREDUCT-RXN // ATP-CITRATE-PRO-S--LYASE-RXN // ACONITATEDEHYDR-RXN // ACONITATEHYDR-RXN // 2-OXOGLUTARATE-SYNTHASE-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN
PWY-6823	"PWY-6823"	RXN-17809 // RXN0-308 // RXN-12473 // RXN-11361 // RXN-8348 // RXN-8344 // RXN-8342 // RXN-8340
LYSINE-AMINOAD-PWY	"LYSINE-AMINOAD-PWY"	RXN-16758 // RXN-16757 // RXN-7970 // HOMOACONITATE-HYDRATASE-RXN // 2-AMINOADIPATE-AMINOTRANSFERASE-RXN // RXN3O-127 // RXN3O-1983 // HOMOCITRATE-SYNTHASE-RXN // 1.5.1.7-RXN
PWY-7723	"PWY-7723"	RXN-17108 // RXN-16395 // FMNREDUCT-RXN // RXN-12444 // RXN-9510 // ALKANAL-MONOOXYGENASE-FMN-LINKED-RXN // 6.2.1.19-RXN // RXN-17107
GLNSYN-PWY	"GLNSYN-PWY"	GLUTAMINESYN-RXN
PWY-6408	"PWY-6408"	RXN-19469 // RXN-19466 // RXN-11125 // RXN-11115 // RXN-11117 // RXN-11118 // RXN-11120 // RXN-11121 // RXN-11122 // RXN-11123 // RXN-11113
GLYCLEAV-PWY	"GLYCLEAV-PWY"	RXN-8629 // GCVT-RXN // GCVP-RXN
PWY-5392	"PWY-5392"	R601-RXN // MALATE-DEH-RXN // R23-RXN // RXN-8457 // RXN-7929 // CITRATE--COA-LIGASE-RXN // PYRUFLAVREDUCT-RXN // ACONITATEDEHYDR-RXN // ACONITATEHYDR-RXN // 2-OXOGLUTARATE-SYNTHASE-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN
PWY-6804	"PWY-6804"	RXN-12386 // RXN-5781
PWY-5140	"PWY-5140"	RXN-14172 // RXN-13663 // RXN-13662 // RXN-13612 // RXN-7857 // RXN-7858 // RXN-7859 // RXN-7856 // RXN-7855 // RXN-7854 // RXN-7853
PWY0-501	"PWY0-501"	RXN0-947 // RXN0-949
PWY-7914	"PWY-7914"	RXN-18875 // RXN-18867 // RXN-18865 // RXN-18866 // RXN-18859 // RXN-18858 // RENILLA-LUCIFERIN-SULFOTRANSFERASE-RXN
PWY-7816	"PWY-7816"	RXN-18027 // TRANS-RXN-314 // RXN-18020 // RXN-18014 // RXN-18013 // RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN // 2.7.7.40-RXN // 6.1.1.13-RXN // 2.4.1.53-RXN // RXN-18008 // RXN-18007 // RXN-18006 // GLCNACPTRANS-RXN // 2.7.7.39-RXN // TEICHOICSYN3-RXN // TEICHOICSYN2-RXN // UDPGLCNACEPIM-RXN
PWY-6964	"PWY-6964"	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN // GLUTAMINESYN-RXN
AEROBACTINSYN-PWY	"AEROBACTINSYN-PWY"	RXN-13056 // RXN-13054 // 1.14.13.59-RXN // N6-HYDROXYLYSINE-O-ACETYLTRANSFERASE-RXN
P42-PWY	"P42-PWY"	R601-RXN // MALATE-DEH-RXN // 2-OXOGLUTARATE-SYNTHASE-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN // PYRUVATE-CARBOXYLASE-RXN // PYRUFLAVREDUCT-RXN
SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	"SOPHOROSYLOXYDOCOSANOATE-SYN-PWY"	RXN-16394 // RXN-13888 // RXN-13887 // RXN-13886 // RXN-13885
PWY-3081	"PWY-3081"	RXN-15002 // RXN-7970 // HOMOACONITATE-HYDRATASE-RXN // RXN-5182 // RXN-5183 // RXN-5184 // RXN-5185 // 2-AMINOADIPATE-AMINOTRANSFERASE-RXN // RXN3O-1983 // HOMOCITRATE-SYNTHASE-RXN
PWY-7937	"PWY-7937"	RXN-19127 // RXN-19086 // RXN-19088 // RXN-19087 // RXN-19085
AMMASSIM-PWY	"AMMASSIM-PWY"	GLUTSYN-PWY // GLNSYN-PWY
PWY-7571	"PWY-7571"	RXN-15951 // RXN-15950 // RXN-11128 // METHYLGLUTACONYL-COA-HYDRATASE-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN
PWY-282	"PWY-282"	RXNQT-4193 // RXNQT-4192 // RXN-1025 // RXN-1023 // RXN-1022 // RXN-1021
PWY-6984	"PWY-6984"	RXN-13039 // RXN-8654 // RXN-13031 // RXN-13032
PWY-7857	"PWY-7857"	RXN-18452 // RXN-18448 // RXN-18439 // RXN-18442 // RXN-18445 // RXN-18450
PWY-7913	"PWY-7913"	RXN-18878 // RXN-18877 // RXN-18851 // RXN-18850 // RXN-18848 // RXN-18847 // RXN-18846 // RXN-18845 // RXN-18840 // RXN-18842 // RXN-18841 // RXN-18839 // RXN-18843 // RXN-18844
PWY-7819	"PWY-7819"	RXN-18061 // TRANS-RXN-321 // RXN-18060 // RXN-18059 // RXN-18058 // RXN-18057 // GLCNACPTRANS-RXN // 2.7.7.39-RXN // TEICHOICSYN3-RXN // TEICHOICSYN2-RXN // UDPGLCNACEPIM-RXN
PWY-6963	"PWY-6963"	GLNSYN-PWY // GLUGLNSYN-PWY // GLUTAMATE-SYNTHASE-NADH-RXN // GLUTAMINESYN-RXN
PWY-5912	"PWY-5912"	1.1.1.285-RXN // 2.6.1.80-RXN // 2.5.1.43-RXN // S-ADENMETSYN-RXN
PWY-7740	"PWY-7740"	RXN-17311 // RXN-17310 // RXN-17309 // RXN-17308
PWY-6667	"PWY-6667"	RXN-11899
DAPLYSINESYN-PWY	"DAPLYSINESYN-PWY"	RXN-14014 // ASPARTATEKIN-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // DIHYDRODIPICSYN-RXN // TETHYDPICSUCC-RXN // SUCCINYLDIAMINOPIMTRANS-RXN // SUCCDIAMINOPIMDESUCC-RXN // DIAMINOPIMDECARB-RXN // DIAMINOPIMEPIM-RXN
PWY-7916	"PWY-7916"	RXN-18900 // RXN-18873 // RXN-18872 // RXN-18871
AMMOXID-PWY	"AMMOXID-PWY"	HAONITRO-RXN // AMONITRO-RXN
PWY-7983	"PWY-7983"	RXN-9377 // RXN-11113 // RXN-19433 // RXN-19439 // RXN-19438 // RXN-19437 // RXN-19436 // RXN-19435 // RXN-19434
PWY0-381	"PWY0-381"	PWY-6952 // PWY-4261
PWY-5142	"PWY-5142"	RXN-7902
PWY0-1275	"PWY0-1275"	RXN0-949 // RXN0-5098
PWY-7214	"PWY-7214"	RXN-14240 // RXN-11760
PWY-7912	"PWY-7912"	RXN-18837 // RXN-12115
PWY-7815	"PWY-7815"	RXN-18030 // RXN-18029 // RXN-18018 // RXN-18017 // RXN-18016 // RXN-18015 // RXN-18014 // RXN-18013 // RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN // 2.7.7.40-RXN // GLCNACPTRANS-RXN // 2.7.7.39-RXN // TEICHOICSYN3-RXN // TEICHOICSYN2-RXN // UDPGLCNACEPIM-RXN
PWY-7082	"PWY-7082"	AMMOXID-PWY // 1.10.2.2-RXN // RXN-13572
PWY-7743	"PWY-7743"	RXN-18532 // RXN-18052 // RXN-17282 // RXN-17281 // RXN-17280 // RXN-17279 // RXN-17278 // RXN-17277 // RXN-17249 // RXN-17258 // RXN-17251
PWY-6343	"PWY-6343"	4.2.1.101-RXN // 4.1.2.41-RXN // 6.2.1.34-RXN
PWY-7915	"PWY-7915"	RXN-18874 // RXN-18869 // RXN-18865 // RXN-18868 // RXN-18862 // RXN-18860 // RXN-18861
PWY-2242	"PWY-2242"	RXN-3483 // RXN-3482 // AMONITRO-RXN
PWY-5670	"PWY-5670"	RXN66-281 // RXN-12263 // SQUALENE-MONOOXYGENASE-RXN
PWY-6952	"PWY-6952"	RXN-15745 // GLYCPDIESTER-RXN
SERDEG-PWY	"SERDEG-PWY"	RXN-15127 // RXN-15124 // RXN-15125
PWY-7113	"PWY-7113"	RXN-13672
PWY-7818	"PWY-7818"	RXN-18053 // 2.4.1.157-RXN // RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN // 2.7.7.40-RXN // TRANS-RXN-319 // CHOLINE-KINASE-RXN // 2.7.7.15-RXN // TRANS-RXN-318 // RXN-18050 // RXN-18042 // RXN-18043 // RXN-18044 // RXN-18045 // RXN-18046 // RXN-18047 // RXN-18048 // RXN-18049 // RXN-18013 // RXN-18014
PWY-7746	"PWY-7746"	RXN-18540 // RXN-17323 // RXN-9549 // RXN3O-9780 // RXN-17320 // RXN-17319 // RXN-17317 // RXN-17318 // RXN-15426
SERSYN-PWY	"SERSYN-PWY"	RXN0-5114 // PGLYCDEHYDROG-RXN // PSERTRANSAM-RXN
